name,overall_infrastructure_score,basic_infrastructure_score,technological_infrastructure_score,scientific_infrastructure_score,health_and_environment_score,education_score,heritage_site_count
Luxembourg,61.3,57.2,46.8,44.0,56.6,66.0,1
Madagascar,,,,,,,3
Malawi,,,,,,,2
Malaysia,49.7,57.6,49.9,44.7,41.5,42.2,5
Mali,,,,,,,4
Malta,,,,,,,3
Marshall Islands,,,,,,,1
Mauritania,,,,,,,2
Mauritius,,,,,,,2
Mexico,17.7,33.5,25.6,29.0,33.1,19.0,35
Micronesia,,,,,,,1
Moldova,,,,,,,1
Mongolia,14.4,36.7,34.8,10.5,21.6,27.1,6
Montenegro,,,,,,,4
Morocco,,,,,,,9
Mozambique,,,,,,,1
Myanmar,,,,,,,2
Namibia,,,,,,,2
Nepal,,,,,,,4
Netherlands,73.0,54.5,59.7,68.5,58.8,64.0,13
New Zealand,54.5,49.3,43.9,46.4,59.3,51.5,3
Nicaragua,,,,,,,2
Niger,,,,,,,3
Nigeria,5.4,30.4,23.5,27.2,13.5,9.1,2
North Korea,,,,,,,2
North Macedonia,,,,,,,2
Norway,77.1,63.9,58.8,62.6,68.0,64.1,8
Oman,,,,,,,5
Pakistan,,,,,,,6
Palau,,,,,,,1
Palestine,,,,,,,5
Panama,,,,,,,5
Papua New Guinea,,,,,,,1
Paraguay,,,,,,,1
Peru,15.2,36.4,22.1,21.0,28.2,25.4,13
Philippines,18.7,33.5,36.7,27.5,28.1,17.7,6
Poland,47.6,44.3,45.9,45.6,43.1,50.6,17
Portugal,56.4,47.6,51.5,46.5,54.1,56.2,17
Puerto Rico,36.0,27.8,48.2,39.7,45.5,34.0,
Qatar,51.8,64.2,56.0,32.1,42.8,47.0,1
Republic of the Congo,,,,,,,2
Romania,34.6,39.6,47.7,35.3,36.6,31.8,11
Russia,,,,,,,32
Rwanda,,,,,,,2
Saint Kitts and Nevis,,,,,,,1
Saint Lucia,,,,,,,1
San Marino,,,,,,,1
Saudi Arabia,50.2,59.5,49.0,41.9,38.8,48.4,8
Senegal,,,,,,,7
Serbia,,,,,,,5
Seychelles,,,,,,,2
Singapore,77.1,61.1,70.4,66.8,52.7,66.5,1
Slovakia,35.1,43.9,40.1,32.4,40.8,35.0,8
Slovenia,48.0,38.6,43.2,44.3,49.1,55.7,5
Solomon Islands,,,,,,,1
South Africa,21.0,33.7,34.0,32.6,23.6,26.4,12
South Korea,71.9,56.5,56.2,80.2,52.0,57.1,16
Spain,56.3,51.0,50.9,48.5,55.9,49.2,50
Sri Lanka,,,,,,,8
Sudan,,,,,,,3
Suriname,,,,,,,3
Sweden,81.8,54.0,65.3,75.1,71.5,65.7,15
Switzerland,88.4,61.1,65.7,79.6,72.8,72.2,13
Syria,,,,,,,6
Taiwan,72.0,48.7,59.8,76.0,55.0,62.8,
Tajikistan,,,,,,,4
Tanzania,,,,,,,7
Thailand,40.2,51.4,51.1,39.9,34.0,31.3,8
Togo,,,,,,,1
Total,,,,,,,1223
Tunisia,,,,,,,9
Turkey,36.1,44.8,35.7,42.0,38.3,34.6,21
Turkmenistan,,,,,,,5
Uganda,,,,,,,3
Ukraine,,,,,,,8
United Arab Emirates,58.4,59.7,57.2,43.3,47.5,54.3,1
United Kingdom,64.4,44.6,50.5,68.7,59.4,56.5,35
United States,73.7,54.2,57.2,79.4,56.9,59.6,26
Uruguay,,,,,,,3
Uzbekistan,,,,,,,7
Vanuatu,,,,,,,1
Vatican City,,,,,,,2
Venezuela,,28.1,9.4,11.4,23.9,14.8,3
Vietnam,,,,,,,8
Yemen,,,,,,,5
Zambia,,,,,,,1
Zimbabwe,,,,,,,5
